season,game_id,game_date,opponent,home_away,ncat_score,opp_score,win,team,player,player_id,position,starter,min,pts,reb,ast,stl,blk,to,fgm,fga,2pm,2pa,3pm,3pa,ftm,fta,oreb,dreb,pf
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,N. Chitikoudis,5175001,F,True,29.0,3,5,0,1,2,1,1,4,0,3,1,1,0,0,1,4,2
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,J. Robinson,4704088,F,True,13.0,3,1,0,0,0,1,1,5,0,2,1,3,0,0,0,1,5
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,E. Joyner,4703417,F,True,33.0,0,4,1,2,2,2,0,5,0,5,0,0,0,0,1,3,2
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,L. Glasper,5174997,G,True,35.0,6,2,0,0,1,0,1,16,1,4,0,12,4,5,1,1,3
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,C. Shell,5174995,G,True,23.0,9,2,2,1,0,1,3,7,2,5,1,2,2,2,0,2,4
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,J. McKie,5175000,G,False,12.0,2,1,1,0,0,0,1,5,1,3,0,2,0,0,0,1,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,U. Kellman-Nicholes,5174998,G,False,24.0,12,1,3,0,0,1,5,11,3,3,2,8,0,2,1,0,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,K. Duke,4897639,G,False,29.0,15,6,2,1,1,3,6,16,3,10,3,6,0,0,2,4,1
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,North Carolina A&T Aggies,A. Hamilton,4704093,G,False,2.0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,F. Federiko,5105412,F,True,26.0,13,10,1,0,4,0,6,9,6,9,0,0,1,4,4,6,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,Z. Austin,4702099,F,True,22.0,8,4,2,0,1,0,4,9,4,6,0,3,0,2,0,4,1
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,B. Hinson,4396963,F,True,21.0,13,8,2,0,0,0,5,11,3,6,2,5,1,2,3,5,2
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,C. Carrington,4845374,G,True,29.0,18,12,10,0,0,2,7,12,3,5,4,7,0,0,0,12,1
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,I. Leggett,4606837,G,True,25.0,11,5,2,0,0,2,4,7,3,5,1,2,2,2,2,3,2
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,J. Diaz Graham,5105411,F,False,16.0,14,5,0,0,1,0,5,5,2,2,3,3,1,1,0,5,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,G. Diaz Graham,5105410,F,False,14.0,5,5,1,1,2,2,2,4,1,1,1,3,0,0,2,3,4
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,W. Jeffress,4701841,F,False,17.0,7,4,0,3,1,1,2,4,2,2,0,2,3,4,2,2,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,J. Lowe,4684270,G,False,20.0,4,1,3,1,0,3,2,6,2,4,0,2,0,0,0,1,1
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,KJ Marshall,4592363,G,False,2.0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2024,401577552,2023-11-07,Pittsburgh Panthers,away,52,100,0,Pittsburgh Panthers,M. Hueitt Jr.,4279094,G,False,8.0,4,1,0,0,0,0,2,3,2,2,0,1,0,2,0,1,1
2024,401581726,2023-11-11,UNC Greensboro Spartans,away,78,94,0,North Carolina A&T Aggies,N. Chitikoudis,5175001,F,True,19.0,2,3,1,1,2,2,1,3,1,2,0,1,0,0,3,0,2
