season,game_id,game_date,opponent,home_away,ncat_score,opp_score,win,team,player,player_id,position,starter,min,pts,reb,ast,stl,blk,to,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,pf,team_min,team_fga,team_fta,team_to,team_poss,ortg,drtg,pace,opp_drtg_pregame,opp_ortg_pregame,opp_pace_pregame,torvik_barthag,torvik_adjoe,ts_pct,efg_pct,usg_pct,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,fgm_per40,fga_per40,fg3m_per40,fg3a_per40,ftm_per40,fta_per40,oreb_per40,dreb_per40,low_min_flag,position_enc,ts_pct_r5,ts_pct_season,usg_pct_r5,usg_pct_season,pts_per40_r5,pts_per40_season,reb_per40_r5,reb_per40_season,ast_per40_r5,ast_per40_season,to_per40_season,rim_rate_r5,three_rate_r5,avg_shot_dist_r5,assisted_rate_r5,foul_drawn_rate_r5,on_hot_streak,prev_game_date,days_rest,is_home
2024,401579102,2023-11-25,Samford Bulldogs,away,83,101,0,Samford Bulldogs,A. Achor,5107364,F,True,16.0,26,6,2,0,0,0,8,9,7,8,1,1,9,10,3,3,3,200.0,67,21,12,81.24,124.44553967471661,102.26712666338098,81.16,89.97276058044598,113.48798316274254,75.224,,,0.9701492537313433,0.9444444444444444,37.96464188576609,65.0,15.0,5.0,0.0,0.0,0.0,20.0,22.5,2.5,2.5,22.5,25.0,7.5,7.5,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2024,401581726,2023-11-11,UNC Greensboro Spartans,away,78,94,0,UNC Greensboro Spartans,A. Ahemed,4593147,G,False,17.0,6,2,1,0,0,0,2,6,0,3,2,3,0,0,1,1,3,200.0,72,13,14,75.72,127.47491185245457,105.77705451586654,73.74000000000001,,,,,,0.5,0.5,15.39211410687258,14.117647058823529,4.705882352941177,2.3529411764705883,0.0,0.0,0.0,4.705882352941177,14.117647058823529,4.705882352941177,7.0588235294117645,0.0,0.0,2.3529411764705883,2.3529411764705883,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401727420,2024-12-07,UNC Greensboro Spartans,home,55,67,0,UNC Greensboro Spartans,A. Ahemed,4593147,G,False,19.0,6,1,0,0,0,0,2,9,0,2,2,7,0,0,0,1,1,200.0,55,18,11,65.92,103.36315951866708,84.85035482875656,64.82,98.0562458968345,99.73034621318355,65.056,,,0.3333333333333333,0.3333333333333333,25.63226247436774,12.631578947368421,2.1052631578947367,0.0,0.0,0.0,0.0,4.2105263157894735,18.94736842105263,4.2105263157894735,14.736842105263158,0.0,0.0,0.0,2.1052631578947367,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
2026,401820801,2025-12-03,Charlotte 49ers,away,57,74,0,Charlotte 49ers,A. Bailey,5175048,F,False,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,200.0,50,19,11,61.36,117.34855692990803,90.39010466222645,63.06,116.36901343446854,109.77114752586576,64.90400000000001,,,0.0,0.0,50.749711649365636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2024,401581735,2023-12-30,George Mason Patriots,away,69,94,0,George Mason Patriots,A. Ball,4895779,F,False,7.0,2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,200.0,58,25,11,70.0,135.25179856115108,99.28057553956835,69.5,99.84551218740259,106.65956833073969,68.76400000000001,,,1.0,1.0,7.142857142857142,11.428571428571429,5.714285714285714,5.714285714285714,0.0,0.0,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,0.0,0.0,5.714285714285714,1,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714212,2025-01-17,Monmouth Hawks,home,63,72,0,Monmouth Hawks,A. Ball,5106702,G,False,10.0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,1,2,200.0,60,25,7,67.0,105.3864168618267,92.21311475409837,68.32,107.76929546470384,101.19342351145235,67.272,,,0.0,0.0,10.256410256410255,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
2026,401812038,2026-01-30,Monmouth Hawks,away,81,83,0,Monmouth Hawks,A. Ball,5106702,G,False,23.0,8,3,0,0,1,2,2,3,1,1,1,2,3,4,0,3,1,225.0,65,25,7,74.0,113.6052559540104,110.8677799069258,73.06,102.52239472783303,101.45451581108391,67.94399999999999,,,0.8403361344537815,0.8333333333333334,15.935044525929806,13.91304347826087,5.217391304347826,0.0,0.0,1.7391304347826086,3.4782608695652173,3.4782608695652173,5.217391304347826,1.7391304347826086,3.4782608695652173,5.217391304347826,6.956521739130435,0.0,5.217391304347826,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
2024,401600746,2024-02-24,Monmouth Hawks,away,67,83,0,Monmouth Hawks,A. Bashir Jr.,5174959,G,False,12.0,5,1,0,0,0,1,2,7,1,1,1,6,0,0,0,1,0,200.0,69,17,7,72.48,114.73596903511196,92.61819187171689,72.34,110.5175900479049,109.19065557960892,66.84,,,0.35714285714285715,0.35714285714285715,31.943778949049673,16.666666666666668,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335,6.666666666666667,23.333333333333336,3.3333333333333335,20.0,0.0,0.0,0.0,3.3333333333333335,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714212,2025-01-17,Monmouth Hawks,home,63,72,0,Monmouth Hawks,A. Bashir Jr.,5174959,G,True,39.0,21,4,4,0,0,3,7,18,6,13,1,5,6,6,1,3,1,200.0,60,25,7,67.0,105.3864168618267,92.21311475409837,68.32,107.76929546470384,101.19342351145235,67.272,,,0.5087209302325582,0.4166666666666667,31.08481262327416,21.538461538461537,4.102564102564102,4.102564102564102,0.0,0.0,3.0769230769230766,7.179487179487179,18.46153846153846,1.0256410256410255,5.128205128205128,6.153846153846153,6.153846153846153,1.0256410256410255,3.0769230769230766,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
2025,401721014,2024-11-26,Buffalo Bulls,away,81,82,0,Buffalo Bulls,A. Boldin Jr.,5177189,G,True,30.0,14,5,3,1,2,1,3,6,3,5,0,1,8,9,3,2,0,200.0,64,28,13,80.32,102.98919869379553,101.73323285606631,79.62,108.01360844136653,101.41544678643491,74.69200000000001,,,0.7028112449799196,0.5,16.360650843409466,18.666666666666664,6.666666666666666,4.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,4.0,8.0,0.0,1.3333333333333333,10.666666666666666,12.0,4.0,2.6666666666666665,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
