game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,tov_pct,orb_pct,ts_pct,ortg_r5,drtg_r5,pace_r5,efg_pct_r5
401581728,2023-11-24,Alabama State Hornets,200.0,34,61,27,45,7,16,13,20,88,34,16,10,6,1,10,24,23,73,88,home,0,Alabama State Hornets,0,88,73,North Carolina A&T Aggies,200.0,19,55,11,26,8,29,27,32,73,26,12,10,6,3,7,19,17,69.8,72.08,70.94,124.04849168311249,102.90386241894561,0.6147540983606558,0.14326647564469916,0.3448275862068966,0.6303724928366763,,,,
401729285,2024-12-21,Arkansas Razorbacks,200.0,37,74,31,50,6,24,15,19,95,43,26,6,4,9,13,30,16,67,95,away,0,Arkansas Razorbacks,0,95,67,North Carolina A&T Aggies,200.0,27,75,23,53,4,22,9,17,67,35,7,8,5,1,16,19,13,75.36,74.48,74.92,126.80192205018686,89.42872397223705,0.5405405405405406,0.07961783439490445,0.40625,0.5767362797474502,,,,
401721014,2024-11-26,Buffalo Bulls,200.0,26,64,18,39,8,25,22,28,82,39,17,13,3,6,9,30,13,81,82,away,0,Buffalo Bulls,0,82,81,North Carolina A&T Aggies,200.0,28,70,17,42,11,28,14,18,81,37,15,9,9,4,8,29,22,80.32,78.92,79.62,102.98919869379553,101.73323285606631,0.46875,0.16185258964143429,0.23684210526315788,0.5372117400419287,,,,
401600619,2024-01-05,Campbell Fighting Camels,200.0,18,53,10,30,8,23,18,19,62,21,7,10,6,4,5,16,14,76,62,home,1,Campbell Fighting Camels,0,62,76,North Carolina A&T Aggies,200.0,29,61,20,36,9,25,9,11,76,33,11,10,3,3,10,23,14,66.36,65.84,66.1,93.79727685325265,114.97730711043874,0.41509433962264153,0.1506931886678722,0.17857142857142858,0.5052151238591917,,,,
401600761,2024-03-02,Campbell Fighting Camels,200.0,24,59,13,29,11,30,5,7,64,33,19,6,3,0,4,29,11,62,64,away,0,Campbell Fighting Camels,0,64,62,North Carolina A&T Aggies,200.0,24,62,15,35,9,27,5,5,62,38,11,7,5,2,8,30,11,64.08,63.2,63.64,100.56568196103079,97.42300439974858,0.5,0.09363295880149813,0.11764705882352941,0.5154639175257733,,,,
401714261,2025-02-11,Campbell Fighting Camels,200.0,25,51,20,31,5,20,11,19,66,26,16,8,6,5,6,20,15,62,66,away,0,Campbell Fighting Camels,0,66,62,North Carolina A&T Aggies,200.0,24,52,23,38,1,14,13,16,62,30,12,11,6,2,7,23,16,61.36,63.04,62.2,106.10932475884245,99.67845659163986,0.5392156862745098,0.1303780964797914,0.20689655172413793,0.5559299191374664,97.18147940714172,106.20015575509366,64.87,0.45754716981132076
401714282,2025-02-21,Campbell Fighting Camels,200.0,20,51,17,31,3,20,7,12,50,28,11,14,7,4,7,21,15,53,50,home,1,Campbell Fighting Camels,0,50,53,North Carolina A&T Aggies,200.0,20,49,14,31,6,18,7,9,53,29,7,18,10,4,7,22,14,63.28,63.96,63.620000000000005,78.59163784973279,83.30713612071675,0.4215686274509804,0.22123893805309733,0.2413793103448276,0.44420753375977257,100.15742785770863,104.02625603394239,63.98,0.4847700086323838
401812058,2026-02-07,Campbell Fighting Camels,200.0,26,55,18,37,8,18,19,26,79,34,13,12,4,2,7,27,16,71,79,home,0,Campbell Fighting Camels,0,79,71,North Carolina A&T Aggies,200.0,28,61,25,51,3,10,12,21,71,31,14,9,10,2,10,21,23,71.44,69.24,70.34,112.31162922945693,100.93829968723342,0.5454545454545454,0.167973124300112,0.25,0.5945213726670681,94.76598035571467,98.84647605563597,63.89,0.46896966333703294
401812098,2026-03-04,Campbell Fighting Camels,200.0,32,58,22,35,10,23,16,22,90,32,21,13,5,4,10,22,18,72,90,away,0,Campbell Fighting Camels,0,90,72,North Carolina A&T Aggies,200.0,28,60,23,45,5,15,11,21,72,26,14,13,6,1,10,16,16,70.68,72.24,71.46000000000001,125.94458438287153,100.75566750629721,0.6379310344827587,0.1839275608375778,0.38461538461538464,0.6648936170212766,98.27511013046312,99.26484078195547,65.17999999999999,0.4842666397605354
401600711,2024-02-09,Charleston Cougars,200.0,31,68,21,37,10,31,8,18,80,47,18,9,3,1,14,33,18,58,80,away,0,Charleston Cougars,0,80,58,North Carolina A&T Aggies,200.0,24,57,22,41,2,16,8,20,58,29,10,8,6,7,6,23,14,70.92,67.8,69.36,115.34025374855825,83.62168396770473,0.5294117647058824,0.12690355329949238,0.3783783783783784,0.5268703898840885,,,,
401714254,2025-02-06,Charleston Cougars,200.0,25,55,18,32,7,23,9,13,66,31,15,10,8,2,6,25,16,63,66,away,0,Charleston Cougars,0,66,63,North Carolina A&T Aggies,200.0,23,55,15,30,8,25,9,16,63,34,12,12,7,1,9,25,12,64.72,65.04,64.88,101.72626387176327,97.10234278668311,0.5181818181818182,0.15451174289245984,0.1935483870967742,0.5434782608695652,,,,
401714277,2025-02-15,Charleston Cougars,200.0,23,52,14,26,9,26,14,23,69,27,20,10,7,2,5,22,16,59,69,home,0,Charleston Cougars,0,69,59,North Carolina A&T Aggies,200.0,22,53,18,35,4,18,11,19,59,35,14,13,7,1,9,26,15,67.12,65.36,66.24000000000001,104.16666666666666,89.07004830917873,0.5288461538461539,0.14898688915375446,0.16129032258064516,0.5553766902768835,108.53325881016076,90.36201337719392,67.12,0.5237967914438503
401812049,2026-02-06,Charleston Cougars,200.0,31,59,25,38,6,21,10,14,78,27,13,13,11,4,6,21,15,62,78,away,0,Charleston Cougars,0,78,62,North Carolina A&T Aggies,200.0,20,54,13,31,7,23,15,18,62,33,9,16,7,4,9,24,11,72.16,68.92,70.53999999999999,110.57555996597677,87.89339381910973,0.576271186440678,0.18015521064301554,0.2,0.5985267034990792,107.07772809566272,89.93135835452217,66.82666666666667,0.5254799122446182
401812071,2026-02-20,Charleston Cougars,200.0,27,61,17,35,10,26,10,14,74,35,19,7,7,4,11,24,14,61,74,home,0,Charleston Cougars,0,74,61,North Carolina A&T Aggies,200.0,22,54,15,30,7,24,10,15,61,28,12,12,3,5,7,21,13,63.16,65.6,64.38,114.9425287356322,94.74992233612925,0.5245901639344263,0.11082963901203294,0.34375,0.55092316855271,107.95218606324124,89.42186722066907,67.755,0.5381777307936331
401820801,2025-12-03,Charlotte 49ers,200.0,26,50,17,28,9,22,13,19,74,28,15,11,7,3,8,20,25,57,74,away,0,Charlotte 49ers,0,74,57,North Carolina A&T Aggies,200.0,17,47,13,29,4,18,19,29,57,23,6,11,7,1,6,17,16,61.36,64.76,63.06,117.34855692990803,90.39010466222645,0.61,0.17926988265971316,0.32,0.6339958875942426,,,,
