game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,ts_pct
401582291,2023-12-30,Averett Cougars,200.0,9,48,7,33,2,15,10,14,30,27,3,34,10,0,6,21,21,90,30,home,1,Averett Cougars,0,30,90,North Carolina A&T Aggies,200.0,35,76,30,54,5,22,15,23,90,44,22,19,22,4,16,28,10,82.16,89.12,85.64,35.03035964502569,105.09107893507708,0.20833333333333334,0.27695716395864106
401582290,2023-12-20,Bethune-Cookman Wildcats,200.0,18,61,13,45,5,16,6,14,47,26,10,18,12,2,11,15,19,66,47,away,1,Bethune-Cookman Wildcats,0,47,66,North Carolina A&T Aggies,200.0,18,45,12,30,6,15,24,26,66,36,11,21,5,3,7,29,18,74.16,70.44,72.3,65.00691562932226,91.28630705394191,0.3360655737704918,0.3499106611078023
401603583,2024-01-27,Campbell Fighting Camels,200.0,17,49,9,21,8,28,9,12,51,37,12,22,1,2,14,23,14,73,51,away,1,Campbell Fighting Camels,0,51,73,North Carolina A&T Aggies,200.0,29,61,26,49,3,12,12,16,73,24,13,2,11,2,6,18,11,62.28,64.04,63.160000000000004,80.74730842305256,115.57948068397718,0.42857142857142855,0.46978629329403093
401724108,2025-02-09,Campbell Fighting Camels,200.0,21,52,17,38,4,14,10,16,56,34,14,14,8,4,7,27,11,52,56,home,0,Campbell Fighting Camels,0,56,52,North Carolina A&T Aggies,200.0,19,59,13,39,6,20,8,12,52,30,11,16,5,4,9,21,12,66.04,71.28,68.66,81.56131663268279,75.73550830177687,0.4423076923076923,0.4742547425474255
401824533,2026-02-08,Campbell Fighting Camels,200.0,21,48,15,35,6,13,6,10,54,27,11,18,12,6,8,19,14,46,54,away,0,Campbell Fighting Camels,0,54,46,North Carolina A&T Aggies,200.0,15,38,13,29,2,9,14,19,46,24,12,18,7,2,4,20,11,62.4,60.36,61.379999999999995,87.97653958944282,74.94297816878462,0.5,0.5152671755725191
401603528,2024-01-05,Charleston Cougars,200.0,26,62,19,46,7,16,4,13,63,31,12,14,7,3,11,20,21,58,63,home,0,Charleston Cougars,0,63,58,North Carolina A&T Aggies,200.0,20,67,16,43,4,24,14,21,58,49,13,15,5,5,23,26,19,70.72,68.24,69.47999999999999,90.67357512953369,83.47725964306277,0.47580645161290325,0.4651506202008269
401603610,2024-02-10,Charleston Cougars,200.0,23,69,15,41,8,28,12,20,66,30,15,13,11,1,11,19,15,62,66,away,0,Charleston Cougars,0,66,62,North Carolina A&T Aggies,200.0,25,63,21,43,4,20,8,15,62,47,5,22,6,3,17,30,21,79.8,74.6,77.19999999999999,85.49222797927463,80.31088082901555,0.391304347826087,0.42416452442159386
401724127,2025-02-08,Charleston Cougars,200.0,20,64,13,40,7,24,12,17,59,22,16,11,13,0,11,11,19,71,59,home,1,Charleston Cougars,0,59,71,North Carolina A&T Aggies,200.0,28,49,23,39,5,10,10,16,71,36,20,22,5,6,9,27,11,71.48,69.04,70.26,83.97381155707372,101.05323085681752,0.3671875,0.4127028539451595
401824509,2026-01-25,Charleston Cougars,200.0,25,64,17,42,8,22,13,18,71,25,10,14,16,4,11,14,25,62,71,away,0,Charleston Cougars,0,71,62,North Carolina A&T Aggies,200.0,23,59,23,49,0,10,16,21,62,43,10,22,2,2,17,26,19,74.92,73.24,74.08,95.84233261339094,83.69330453563715,0.453125,0.4936040044493882
401824570,2026-03-07,Charleston Cougars,200.0,23,62,12,36,11,26,13,20,70,24,18,17,17,0,9,15,19,64,70,home,0,Charleston Cougars,0,70,64,North Carolina A&T Aggies,200.0,24,50,17,33,7,17,9,14,64,35,17,30,8,5,8,27,19,78.8,78.16,78.47999999999999,89.19469928644241,81.54943934760449,0.4596774193548387,0.4943502824858757
